,0
R_Verapamil_hydrochloride_0_05_uM_,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]"
R_Verapamil_hydrochloride_0_5_uM_,"[('(R)-Verapamil (hydrochloride)', 0.5, 'uM')]"
R_Verapamil_hydrochloride_5_0_uM_,"[('(R)-Verapamil (hydrochloride)', 5.0, 'uM')]"
S_Crizotinib_0_05_uM_,"[('(S)-Crizotinib', 0.05, 'uM')]"
S_Crizotinib_0_5_uM_,"[('(S)-Crizotinib', 0.5, 'uM')]"
S_Crizotinib_5_0_uM_,"[('(S)-Crizotinib', 5.0, 'uM')]"
X_18_Glycyrrhetinic_acid_0_05_uM_,"[('18β-Glycyrrhetinic acid', 0.05, 'uM')]"
X_18_Glycyrrhetinic_acid_0_5_uM_,"[('18β-Glycyrrhetinic acid', 0.5, 'uM')]"
X_18_Glycyrrhetinic_acid_5_0_uM_,"[('18β-Glycyrrhetinic acid', 5.0, 'uM')]"
X_4EGI_1_0_05_uM_,"[('4EGI-1', 0.05, 'uM')]"
X_4EGI_1_0_5_uM_,"[('4EGI-1', 0.5, 'uM')]"
X_4EGI_1_5_0_uM_,"[('4EGI-1', 5.0, 'uM')]"
X_5_Azacytidine_0_05_uM_,"[('5-Azacytidine', 0.05, 'uM')]"
X_5_Azacytidine_0_5_uM_,"[('5-Azacytidine', 0.5, 'uM')]"
X_5_Azacytidine_5_0_uM_,"[('5-Azacytidine', 5.0, 'uM')]"
X_5_Fluorouracil_0_05_uM_,"[('5-Fluorouracil', 0.05, 'uM')]"
X_5_Fluorouracil_0_5_uM_,"[('5-Fluorouracil', 0.5, 'uM')]"
X_5_Fluorouracil_5_0_uM_,"[('5-Fluorouracil', 5.0, 'uM')]"
X_8_Hydroxyquinoline_0_05_uM_,"[('8-Hydroxyquinoline', 0.05, 'uM')]"
X_8_Hydroxyquinoline_0_5_uM_,"[('8-Hydroxyquinoline', 0.5, 'uM')]"
X_8_Hydroxyquinoline_5_0_uM_,"[('8-Hydroxyquinoline', 5.0, 'uM')]"
X_9_ING_41_0_05_uM_,"[('9-ING-41', 0.05, 'uM')]"
X_9_ING_41_0_5_uM_,"[('9-ING-41', 0.5, 'uM')]"
X_9_ING_41_5_0_uM_,"[('9-ING-41', 5.0, 'uM')]"
APTO_253_0_05_uM_,"[('APTO-253', 0.05, 'uM')]"
APTO_253_0_5_uM_,"[('APTO-253', 0.5, 'uM')]"
APTO_253_5_0_uM_,"[('APTO-253', 5.0, 'uM')]"
AT7519_0_05_uM_,"[('AT7519', 0.05, 'uM')]"
AT7519_0_5_uM_,"[('AT7519', 0.5, 'uM')]"
AT7519_5_0_uM_,"[('AT7519', 5.0, 'uM')]"
AZD_7648_0_05_uM_,"[('AZD-7648', 0.05, 'uM')]"
AZD_7648_0_5_uM_,"[('AZD-7648', 0.5, 'uM')]"
AZD_7648_5_0_uM_,"[('AZD-7648', 5.0, 'uM')]"
AZD_8055_0_05_uM_,"[('AZD-8055', 0.05, 'uM')]"
AZD_8055_0_5_uM_,"[('AZD-8055', 0.5, 'uM')]"
AZD_8055_5_0_uM_,"[('AZD-8055', 5.0, 'uM')]"
AZD1390_0_05_uM_,"[('AZD1390', 0.05, 'uM')]"
AZD1390_0_5_uM_,"[('AZD1390', 0.5, 'uM')]"
AZD1390_5_0_uM_,"[('AZD1390', 5.0, 'uM')]"
AZD2858_0_05_uM_,"[('AZD2858', 0.05, 'uM')]"
AZD2858_0_5_uM_,"[('AZD2858', 0.5, 'uM')]"
AZD2858_5_0_uM_,"[('AZD2858', 5.0, 'uM')]"
Abemaciclib_0_05_uM_,"[('Abemaciclib', 0.05, 'uM')]"
Abemaciclib_0_5_uM_,"[('Abemaciclib', 0.5, 'uM')]"
Abemaciclib_5_0_uM_,"[('Abemaciclib', 5.0, 'uM')]"
Abiraterone_acetate_0_05_uM_,"[('Abiraterone acetate', 0.05, 'uM')]"
Abiraterone_acetate_0_5_uM_,"[('Abiraterone acetate', 0.5, 'uM')]"
Abiraterone_acetate_5_0_uM_,"[('Abiraterone acetate', 5.0, 'uM')]"
Acetazolamide_0_05_uM_,"[('Acetazolamide', 0.05, 'uM')]"
Acetazolamide_0_5_uM_,"[('Acetazolamide', 0.5, 'uM')]"
Acetazolamide_5_0_uM_,"[('Acetazolamide', 5.0, 'uM')]"
Acetohexamide_0_05_uM_,"[('Acetohexamide', 0.05, 'uM')]"
Acetohexamide_0_5_uM_,"[('Acetohexamide', 0.5, 'uM')]"
Acetohexamide_5_0_uM_,"[('Acetohexamide', 5.0, 'uM')]"
Adagrasib_0_05_uM_,"[('Adagrasib', 0.05, 'uM')]"
Adagrasib_0_5_uM_,"[('Adagrasib', 0.5, 'uM')]"
Adagrasib_5_0_uM_,"[('Adagrasib', 5.0, 'uM')]"
Adenine_0_05_uM_,"[('Adenine', 0.05, 'uM')]"
Adenine_0_5_uM_,"[('Adenine', 0.5, 'uM')]"
Adenine_5_0_uM_,"[('Adenine', 5.0, 'uM')]"
Adenosine_0_05_uM_,"[('Adenosine', 0.05, 'uM')]"
Adenosine_0_5_uM_,"[('Adenosine', 0.5, 'uM')]"
Adenosine_5_0_uM_,"[('Adenosine', 5.0, 'uM')]"
Afatinib_0_05_uM_,"[('Afatinib', 0.05, 'uM')]"
Afatinib_0_5_uM_,"[('Afatinib', 0.5, 'uM')]"
Afatinib_5_0_uM_,"[('Afatinib', 5.0, 'uM')]"
Aliskiren_0_05_uM_,"[('Aliskiren', 0.05, 'uM')]"
Aliskiren_0_5_uM_,"[('Aliskiren', 0.5, 'uM')]"
Aliskiren_5_0_uM_,"[('Aliskiren', 5.0, 'uM')]"
Allantoin_0_05_uM_,"[('Allantoin', 0.05, 'uM')]"
Allantoin_0_5_uM_,"[('Allantoin', 0.5, 'uM')]"
Allantoin_5_0_uM_,"[('Allantoin', 5.0, 'uM')]"
Allopurinol_0_05_uM_,"[('Allopurinol', 0.05, 'uM')]"
Allopurinol_0_5_uM_,"[('Allopurinol', 0.5, 'uM')]"
Allopurinol_5_0_uM_,"[('Allopurinol', 5.0, 'uM')]"
Almonertinib_hydrochloride_0_05_uM_,"[('Almonertinib (hydrochloride)', 0.05, 'uM')]"
Almonertinib_hydrochloride_0_5_uM_,"[('Almonertinib (hydrochloride)', 0.5, 'uM')]"
Almonertinib_hydrochloride_5_0_uM_,"[('Almonertinib (hydrochloride)', 5.0, 'uM')]"
Almonertinib_mesylate_0_05_uM_,"[('Almonertinib (mesylate)', 0.05, 'uM')]"
Almonertinib_mesylate_0_5_uM_,"[('Almonertinib (mesylate)', 0.5, 'uM')]"
Almonertinib_mesylate_5_0_uM_,"[('Almonertinib (mesylate)', 5.0, 'uM')]"
Alpelisib_0_05_uM_,"[('Alpelisib', 0.05, 'uM')]"
Alpelisib_0_5_uM_,"[('Alpelisib', 0.5, 'uM')]"
Alpelisib_5_0_uM_,"[('Alpelisib', 5.0, 'uM')]"
Altretamine_0_05_uM_,"[('Altretamine', 0.05, 'uM')]"
Altretamine_0_5_uM_,"[('Altretamine', 0.5, 'uM')]"
Altretamine_5_0_uM_,"[('Altretamine', 5.0, 'uM')]"
Amsacrine_0_05_uM_,"[('Amsacrine', 0.05, 'uM')]"
Amsacrine_0_5_uM_,"[('Amsacrine', 0.5, 'uM')]"
Amsacrine_5_0_uM_,"[('Amsacrine', 5.0, 'uM')]"
Anastrozole_0_05_uM_,"[('Anastrozole', 0.05, 'uM')]"
Anastrozole_0_5_uM_,"[('Anastrozole', 0.5, 'uM')]"
Anastrozole_5_0_uM_,"[('Anastrozole', 5.0, 'uM')]"
Anethole_trithione_0_05_uM_,"[('Anethole trithione', 0.05, 'uM')]"
Anethole_trithione_0_5_uM_,"[('Anethole trithione', 0.5, 'uM')]"
Anethole_trithione_5_0_uM_,"[('Anethole trithione', 5.0, 'uM')]"
Apalutamide_0_05_uM_,"[('Apalutamide', 0.05, 'uM')]"
Apalutamide_0_5_uM_,"[('Apalutamide', 0.5, 'uM')]"
