,0
X10_Osimertinib_mesylate_0_05_uM_,"10_[('Osimertinib (mesylate)', 0.05, 'uM')]"
X10_Ouabain_Octahydrate_0_05_uM_,"10_[('Ouabain (Octahydrate)', 0.05, 'uM')]"
X10_Oxaprozin_0_05_uM_,"10_[('Oxaprozin', 0.05, 'uM')]"
X10_Panobinostat_0_05_uM_,"10_[('Panobinostat', 0.05, 'uM')]"
X10_Pentoxifylline_0_05_uM_,"10_[('Pentoxifylline', 0.05, 'uM')]"
X10_Perindopril_erbumine_0_05_uM_,"10_[('Perindopril (erbumine)', 0.05, 'uM')]"
X10_Phenylephrine_hydrochloride_0_05_uM_,"10_[('Phenylephrine (hydrochloride)', 0.05, 'uM')]"
X10_Pimozide_0_05_uM_,"10_[('Pimozide', 0.05, 'uM')]"
X10_Pioglitazone_0_05_uM_,"10_[('Pioglitazone', 0.05, 'uM')]"
X10_Piroxicam_0_05_uM_,"10_[('Piroxicam', 0.05, 'uM')]"
X10_Ponatinib_0_05_uM_,"10_[('Ponatinib', 0.05, 'uM')]"
X10_Proglumide_0_05_uM_,"10_[('Proglumide', 0.05, 'uM')]"
X10_Ranolazine_0_05_uM_,"10_[('Ranolazine', 0.05, 'uM')]"
X10_Sunitinib_0_05_uM_,"10_[('Sunitinib', 0.05, 'uM')]"
X10_Talc_0_05_uM_,"10_[('Talc', 0.05, 'uM')]"
X10_Tazarotene_0_05_uM_,"10_[('Tazarotene', 0.05, 'uM')]"
X10_Tirabrutinib_hydrochloride_0_05_uM_,"10_[('Tirabrutinib (hydrochloride)', 0.05, 'uM')]"
X10_Trametinib_0_05_uM_,"10_[('Trametinib', 0.05, 'uM')]"
X10_Uridine_0_05_uM_,"10_[('Uridine', 0.05, 'uM')]"
X10_Valdecoxib_0_05_uM_,"10_[('Valdecoxib', 0.05, 'uM')]"
X10_Vandetanib_0_05_uM_,"10_[('Vandetanib', 0.05, 'uM')]"
X10_Vismodegib_0_05_uM_,"10_[('Vismodegib', 0.05, 'uM')]"
X10_Vitamin_K4_0_05_uM_,"10_[('Vitamin K4', 0.05, 'uM')]"
X10_Voriconazole_0_05_uM_,"10_[('Voriconazole', 0.05, 'uM')]"
X10_Vortioxetine_0_05_uM_,"10_[('Vortioxetine', 0.05, 'uM')]"
X10_Zileuton_0_05_uM_,"10_[('Zileuton', 0.05, 'uM')]"
X10_Oryzanol_0_05_uM_,"10_[('γ-Oryzanol', 0.05, 'uM')]"
X11_5_Azacytidine_0_5_uM_,"11_[('5-Azacytidine', 0.5, 'uM')]"
X11_5_Fluorouracil_0_5_uM_,"11_[('5-Fluorouracil', 0.5, 'uM')]"
X11_Abiraterone_acetate_0_5_uM_,"11_[('Abiraterone acetate', 0.5, 'uM')]"
