,0
factor_valid_drug_names_JQ1_10_0,(+)-JQ1_10.0
factor_valid_drug_names_JQ1_100_0,(+)-JQ1_100.0
factor_valid_drug_names_JQ1_1000_0,(+)-JQ1_1000.0
factor_valid_drug_names_JQ1_10000_0,(+)-JQ1_10000.0
factor_valid_drug_names_X_2_Methoxyestradiol_2_MeOE2_10_0,2-Methoxyestradiol (2-MeOE2)_10.0
factor_valid_drug_names_X_2_Methoxyestradiol_2_MeOE2_100_0,2-Methoxyestradiol (2-MeOE2)_100.0
factor_valid_drug_names_X_2_Methoxyestradiol_2_MeOE2_1000_0,2-Methoxyestradiol (2-MeOE2)_1000.0
factor_valid_drug_names_X_2_Methoxyestradiol_2_MeOE2_10000_0,2-Methoxyestradiol (2-MeOE2)_10000.0
factor_valid_drug_names_A_366_10_0,A-366_10.0
factor_valid_drug_names_A_366_100_0,A-366_100.0
factor_valid_drug_names_A_366_1000_0,A-366_1000.0
factor_valid_drug_names_A_366_10000_0,A-366_10000.0
factor_valid_drug_names_ABT_737_10_0,ABT-737_10.0
factor_valid_drug_names_ABT_737_100_0,ABT-737_100.0
factor_valid_drug_names_ABT_737_1000_0,ABT-737_1000.0
factor_valid_drug_names_ABT_737_10000_0,ABT-737_10000.0
factor_valid_drug_names_AC480_BMS_599626_10_0,AC480 (BMS-599626)_10.0
factor_valid_drug_names_AC480_BMS_599626_100_0,AC480 (BMS-599626)_100.0
factor_valid_drug_names_AC480_BMS_599626_1000_0,AC480 (BMS-599626)_1000.0
factor_valid_drug_names_AC480_BMS_599626_10000_0,AC480 (BMS-599626)_10000.0
factor_valid_drug_names_AG_14361_10_0,AG-14361_10.0
factor_valid_drug_names_AG_14361_100_0,AG-14361_100.0
factor_valid_drug_names_AG_14361_1000_0,AG-14361_1000.0
factor_valid_drug_names_AG_14361_10000_0,AG-14361_10000.0
factor_valid_drug_names_AG_490_Tyrphostin_B42_10_0,AG-490 (Tyrphostin B42)_10.0
factor_valid_drug_names_AG_490_Tyrphostin_B42_100_0,AG-490 (Tyrphostin B42)_100.0
factor_valid_drug_names_AG_490_Tyrphostin_B42_1000_0,AG-490 (Tyrphostin B42)_1000.0
factor_valid_drug_names_AG_490_Tyrphostin_B42_10000_0,AG-490 (Tyrphostin B42)_10000.0
factor_valid_drug_names_AICAR_Acadesine_10_0,AICAR (Acadesine)_10.0
factor_valid_drug_names_AICAR_Acadesine_100_0,AICAR (Acadesine)_100.0
factor_valid_drug_names_AICAR_Acadesine_1000_0,AICAR (Acadesine)_1000.0
factor_valid_drug_names_AICAR_Acadesine_10000_0,AICAR (Acadesine)_10000.0
factor_valid_drug_names_AMG_900_10_0,AMG-900_10.0
factor_valid_drug_names_AMG_900_100_0,AMG-900_100.0
factor_valid_drug_names_AMG_900_1000_0,AMG-900_1000.0
factor_valid_drug_names_AMG_900_10000_0,AMG-900_10000.0
factor_valid_drug_names_AR_42_10_0,AR-42_10.0
factor_valid_drug_names_AR_42_100_0,AR-42_100.0
factor_valid_drug_names_AR_42_1000_0,AR-42_1000.0
factor_valid_drug_names_AR_42_10000_0,AR-42_10000.0
factor_valid_drug_names_AT9283_10_0,AT9283_10.0
factor_valid_drug_names_AT9283_100_0,AT9283_100.0
factor_valid_drug_names_AT9283_1000_0,AT9283_1000.0
factor_valid_drug_names_AT9283_10000_0,AT9283_10000.0
factor_valid_drug_names_AZ_960_10_0,AZ 960_10.0
factor_valid_drug_names_AZ_960_100_0,AZ 960_100.0
factor_valid_drug_names_AZ_960_1000_0,AZ 960_1000.0
factor_valid_drug_names_AZ_960_10000_0,AZ 960_10000.0
factor_valid_drug_names_AZD1480_10_0,AZD1480_10.0
factor_valid_drug_names_AZD1480_100_0,AZD1480_100.0
factor_valid_drug_names_AZD1480_1000_0,AZD1480_1000.0
factor_valid_drug_names_AZD1480_10000_0,AZD1480_10000.0
factor_valid_drug_names_Abexinostat_PCI_24781_10_0,Abexinostat (PCI-24781)_10.0
factor_valid_drug_names_Abexinostat_PCI_24781_100_0,Abexinostat (PCI-24781)_100.0
factor_valid_drug_names_Abexinostat_PCI_24781_1000_0,Abexinostat (PCI-24781)_1000.0
factor_valid_drug_names_Abexinostat_PCI_24781_10000_0,Abexinostat (PCI-24781)_10000.0
factor_valid_drug_names_Alendronate_sodium_trihydrate_10_0,Alendronate sodium trihydrate_10.0
factor_valid_drug_names_Alendronate_sodium_trihydrate_100_0,Alendronate sodium trihydrate_100.0
factor_valid_drug_names_Alendronate_sodium_trihydrate_1000_0,Alendronate sodium trihydrate_1000.0
factor_valid_drug_names_Alendronate_sodium_trihydrate_10000_0,Alendronate sodium trihydrate_10000.0
factor_valid_drug_names_Alisertib_MLN8237_10_0,Alisertib (MLN8237)_10.0
factor_valid_drug_names_Alisertib_MLN8237_100_0,Alisertib (MLN8237)_100.0
factor_valid_drug_names_Alisertib_MLN8237_1000_0,Alisertib (MLN8237)_1000.0
factor_valid_drug_names_Alisertib_MLN8237_10000_0,Alisertib (MLN8237)_10000.0
factor_valid_drug_names_Altretamine_10_0,Altretamine_10.0
factor_valid_drug_names_Altretamine_100_0,Altretamine_100.0
factor_valid_drug_names_Altretamine_1000_0,Altretamine_1000.0
factor_valid_drug_names_Altretamine_10000_0,Altretamine_10000.0
