entity,organism,source,version
Organism,vertebrates,ensembl,release-112
Organism,bacteria,ensembl,release-57
Organism,fungi,ensembl,release-57
Organism,metazoa,ensembl,release-57
Organism,plants,ensembl,release-57
Organism,all,ncbitaxon,2023-06-20
Gene,human,ensembl,release-112
Gene,mouse,ensembl,release-112
Gene,saccharomyces cerevisiae,ensembl,release-112
Protein,human,uniprot,2024-03
Protein,mouse,uniprot,2024-03
CellMarker,human,cellmarker,2.0
CellMarker,mouse,cellmarker,2.0
CellLine,all,clo,2022-03-21
CellType,all,cl,2024-08-16
Tissue,all,uberon,2024-08-07
Disease,all,mondo,2024-08-06
Disease,human,doid,2024-05-29
ExperimentalFactor,all,efo,3.70.0
Phenotype,human,hp,2024-04-26
Phenotype,mammalian,mp,2024-06-18
Phenotype,zebrafish,zp,2024-04-18
Phenotype,all,pato,2024-03-28
Pathway,all,go,2024-06-17
BFXPipeline,all,lamin,1.0.0
Drug,all,dron,2024-08-05
DevelopmentalStage,human,hsapdv,2024-05-28
DevelopmentalStage,mouse,mmusdv,2024-05-28
Ethnicity,human,hancestro,3.0
BioSample,all,ncbi,2023-09
